Company name,Email address,Phone Number,Website
 HMG Powder Coatings, info@hmgpowdercoatings.com, +44 (0) 1902 499775, www.hmgpowdercoatings.com
 Erichsen GmbH & Co. KG, sales@pearsonpanke.co.uk, +44 (0) 20 8959 3232, www.pearsonpanke.co.uk
Eurosider, info@eurosider.com, +39 0564 425117, www.eurosider.com
Fischer Instrumentation (GB) Ltd, sales@fischer.co.uk, +44 (0) 1386 577370, www.fischerinstrumentation.co.uk
 FreiLacke, info@freilacke.com, +44-(0)1827 288 418, www.freilacke.com
Galvatek, sales@turbex.co.uk, +44-(0)1420 544909, www.turbex.co.uk
Gema, sales@gemapowdercoating.com, +41-(0)52 763942, www.gemapowdercoating.com
 Global Mask International SL, info@global-mask.com, +34 93 113 07 50, www.global-mask.com
Hadleigh Enterprises Ltd, sales@hadleigh-tapes.co.uk, +44 (0) 1268 572255, www.hadleigh-tapes.co.uk
Hang On Ltd, sales@hango.com, +44 (0) 1547 540573, www.hangon.co.uk
 Dalby Engineering Ltd, enquiries@dalby.co.uk, +44 (0) 116 2916000, www.dalby.co.uk
Haviland Ltd, haviland@tiscali.co.uk, +44 (0) 119 444 159, www.haviland.co.uk
Henkel Adhesive Technologies, henkeladhesives.uk@henkel.com, +44-(0) 1442-278000, www.henkel.com
 HMG Powder Coatings, sales@hmgpowdercoatings.co.uk, +44 (0)1827 280225, www.hmgpowdercoatings.com
Industrial Physics, info@industrialphysics.com, +31 10 7900 100, www.industrialphysics.com
Institute of Materials Finishing, info@materialsfinishing.org.uk, +44 (0) 121 622 7387, www.materials-finishing.org
 Jacques Weston Engineering Ltd, sales@jweltd.com, +44 (0) 1848 614400, www.jweltd.com
Jurgen Emptmeyer GmbH, info@emptmeyer.de, +49-(0)5472 955 00, www.emptmeyer.de/en-GB
Kemet International Ltd, sales@kemet.co.uk, +44 (0) 1622 95287, www.kemet.co.uk
 Kluthe, info@kluthe.com, +49 2861 9970, www.kluthe.com
Kraft Powercon, info@kraftpowercon.com, +46 (0) 18 284 2222, www.kraftpowercon.com
Amber Industries, info@amber-industries.co.uk, +44 (0) 161 284 2222, www.amber-industries.co.uk
 MecWash Systems Ltd, info@mecwash.com, +44 (0) 1848 276600, www.mecwash.com
Metalltechnik Schmidt GmbH & Co. KG, sales@ferrosad.com, +49 (0) 1299 832 100, www.ferrosad.com
Metavate, info@metavate.co.uk, +44 (0) 1926 494126, www.metavate.co.uk
 Nordson (UK) Ltd, nordson@nordson.com, +44.0161.498.1500, www.nordson.com
OTMK GmbH Automation & Robotic Line, info@otmk.group.com, +49.7231.770.25.90, www.otmk.com
Pangborn Ltd, info@pangborn.com, +44 (0) 1352 712412, www.pangborn.com
 PhoenixTM LTD, info@phoenixtm.com, +44 (0) 1353 223100, www.phoenixtm.com
Plastrum Ltd, info@plastrum.com, +44 (0) 121 314 1191, www.plastrum.com
Plating Line Advice, help@plating-line-advice.com, +44-(0) 7890179836, www.plating-line-advice.com
 Precious Plate Inc., sales@precious-process.com, +1-(800)-707-5433, www.precious-process.com
Purite, vvts@purite.com.au, +61 3 9884 2171, www.purite.com.au
Qualicoat UK & Ireland, lukasz.safatle@qualicoat.org.uk, +44-(0)-333-240-9735, www.qualicoat.org.uk
 Ribble Technology Ltd, sales@ribbletechnology.co.uk, +44 (0) 1772 202277, www.ribbletech.co.uk
SciMed, info@scimed.co.uk, +44 (0) 161 442 9963, www.scimed.co.uk
Sherwin-Williams, john.williams@sherwin.com, +44 (0) 1866 0486, www.sherwin-williams.co.uk
 Shotblast Technology Ltd, sales@shotblast.eu, +44-(0)121-552-1999, www.shotblast.eu
Siebec UK Ltd, sales@siebec.com, +44-(0)1785-227700, www.siebec.co.uk
Stewart Gill Conveyors Ltd, info@stewart-gill.co.uk, +44-(0)192-664-14-24, www.stewart-gill.co.uk
 Stowlin and Precision Cleaning Solutions, info@stowlin.com, +44 (0) 116 257 1077, www.stowlin.com
Straaltechniek UK Limited, info@straaltechniek.co.uk, +44 (0) 114 278 5373, www.straaltechniek.co.uk
SurfacePrep UK, sales@surfaceprep.co.uk, +44 (0) 16 378 5373, www.surfaceprep.co.uk
 Thermasat Ltd., info@thermasat.co.uk, +44 (0) 1827 5577, www.thermasat.co.uk
Turbex Ltd., sales@turbex.co.uk, +44 (0) 1420 544909, www.turbex.co.uk
Unitech Machinery, info@unitech-uk.com, +44 (0) 1543 675800, www.unitech-uk.com
 J. Wagner GmbH, enquiries@wagner-group.com, +44-(0) 1327 368410, www.wagner-group.com
Westbury, sales@westbury.group, +44-(0) 1282 459744, www.westburygroup.com
Global Mask, info@global-mask.com, +923016855136, www.global-mask.com
 Metavate, info@metavate.co.uk, 01926 494126, www.metavate.co.uk
 Surface World, info@surfaceworld.com, +44 (0) 1892 533337, www.surfaceworld.com
 ADEPT Pure Water Ltd, enquiries@adeptpw.co.uk, +44 (0) 1923 877818, www.adeptpw.co.uk
Aerofin Laboratories Ltd, info@aerofinlabs.com, +44 (0) 1278 785131, www.aerofinlabs.com
ARUM 3D Solutions Ltd, info@arum3d.com, +44 (0) 20 7368 1390, www.arum3d.com
 Asset Disposal Services Limited, paul@assetdisposalservices.co.uk, +44 (0) 1928 597030, www.assetdisposalservices.co.uk
AWE Water & Effluent Ltd, sales@awe.ltd.uk, +44 (0) 1785 254 597, www.awe.ltd.uk
Banner Chemicals Group, psc@bannerchemicals.co.uk, +44 (0) 1926 597030, www.bannerchemicalsolution.co.uk
 B&M Longworth Ltd, enquiries@longworth.com, +44 (0) 1254 860501, www.bmlongworth.com
CALDAN CONVEYORS, cc@caldan.dk, +45 8694 7071, www.caldan.dk
CC HYDROSONICS, sales@cchyrdrosonics.com, +44 (0) 1279 797277, www.cchyrdrosonics.com
 Chemetall Ltd - BASF, chemetall.ukinfo@basf.com, +44-(0)-1908-649333, www.chemetall.com
Corrodere Academy, info@corrodere.com, +44-(0)-1252-732223, www.corrodere.com
Defelsko Corporation, sales@defelsko.com, +1-315-393-4450, www.defelsko.com
 DFT Instruments UK LTD, sales@dftinstruments.co.uk, +44 (0) 1422 879494, www.dftinstruments.co.uk
EFFPARK COATINGS, info@effparkcoatings.com, +44 (0) 1903 601240, www.effparkcoatings.com
